date,platform,campaign_name,ad_group_name,ad_name,impressions,clicks,cost,conversions,revenue,device,keyword,creative_name,landing_page,purchases,leads,memo
"2026-03-23","NAVER","구매 전환","유사 타겟","소재 21","5335","128","90880","4.7","277300","mobile","구매 전환 키워드","소재 21","https://example.com/구매-전환","2.8","1.9",""
"2026-03-23","NAVER","브랜드 검색","핵심 키워드","소재 07","5755","155","124775","6.7","452250","desktop","브랜드 검색 키워드","소재 07","https://example.com/브랜드-검색","4","2.7",""
"2026-03-23","GOOGLE","프로모션","지역 타겟","소재 02","4755","86","48160","2.1","88200","mobile","프로모션 키워드","소재 02","https://example.com/프로모션","1.3","0.8",""
"2026-03-23","GOOGLE","콘텐츠 유입","유사 타겟","소재 12","5175","109","71395","3.4","171700","desktop","콘텐츠 유입 키워드","소재 12","https://example.com/콘텐츠-유입","2","1.4",""
"2026-03-23","GOOGLE","구매 전환","핵심 키워드","소재 22","5595","134","100500","5","295000","mobile","구매 전환 키워드","소재 22","https://example.com/구매-전환","3","2",""
"2026-03-23","GOOGLE","브랜드 검색","경쟁사","소재 08","6015","162","136890","7","472500","desktop","브랜드 검색 키워드","소재 08","https://example.com/브랜드-검색","4.2","2.8",""
"2026-03-23","META","프로모션","유사 타겟","소재 03","5015","90","54000","2.3","96600","mobile","","소재 03","https://example.com/프로모션","1.4","0.9",""
"2026-03-23","META","콘텐츠 유입","핵심 키워드","소재 13","5435","114","79230","3.5","176750","desktop","","소재 13","https://example.com/콘텐츠-유입","2.1","1.4",""
"2026-03-23","META","구매 전환","경쟁사","소재 23","5855","141","111390","5.2","306800","mobile","","소재 23","https://example.com/구매-전환","3.1","2.1",""
"2026-03-23","META","브랜드 검색","관심사","소재 09","6275","169","149565","7.3","492750","desktop","","소재 09","https://example.com/브랜드-검색","4.4","2.9",""
"2026-03-23","KAKAO","프로모션","핵심 키워드","소재 04","5275","95","60800","2.4","100800","mobile","","소재 04","https://example.com/프로모션","1.4","1",""
"2026-03-23","KAKAO","콘텐츠 유입","경쟁사","소재 14","5695","120","88200","3.7","186850","desktop","","소재 14","https://example.com/콘텐츠-유입","2.2","1.5",""
"2026-03-23","KAKAO","구매 전환","관심사","소재 24","6115","147","122010","5.4","318600","mobile","","소재 24","https://example.com/구매-전환","3.2","2.2",""
"2026-03-23","KAKAO","브랜드 검색","장바구니","소재 10","6535","176","162800","7.6","513000","desktop","","소재 10","https://example.com/브랜드-검색","4.6","3",""
"2026-03-24","NAVER","리타겟팅","모바일","소재 01","4460","80","41600","2","84000","mobile","리타겟팅 키워드","소재 01","https://example.com/리타겟팅","1.2","0.8",""
"2026-03-24","NAVER","프로모션","PC","소재 10","4880","102","62730","3.2","161600","desktop","프로모션 키워드","소재 10","https://example.com/프로모션","1.9","1.3",""
"2026-03-24","NAVER","콘텐츠 유입","지역 타겟","소재 19","5300","127","90170","4.7","277300","mobile","콘텐츠 유입 키워드","소재 19","https://example.com/콘텐츠-유입","2.8","1.9",""
"2026-03-24","NAVER","구매 전환","유사 타겟","소재 04","5720","154","123970","6.6","445500","desktop","구매 전환 키워드","소재 04","https://example.com/구매-전환","4","2.6",""
"2026-03-24","GOOGLE","리타겟팅","PC","소재 02","4720","85","47600","2.1","88200","mobile","리타겟팅 키워드","소재 02","https://example.com/리타겟팅","1.3","0.8",""
"2026-03-24","GOOGLE","프로모션","지역 타겟","소재 11","5140","108","70740","3.3","166650","desktop","프로모션 키워드","소재 11","https://example.com/프로모션","2","1.3",""
"2026-03-24","GOOGLE","콘텐츠 유입","유사 타겟","소재 20","5560","133","99750","4.9","289100","mobile","콘텐츠 유입 키워드","소재 20","https://example.com/콘텐츠-유입","2.9","2",""
"2026-03-24","GOOGLE","구매 전환","핵심 키워드","소재 05","5980","161","136045","6.9","465750","desktop","구매 전환 키워드","소재 05","https://example.com/구매-전환","4.1","2.8",""
"2026-03-24","META","리타겟팅","지역 타겟","소재 03","4980","90","54000","2.3","96600","mobile","","소재 03","https://example.com/리타겟팅","1.4","0.9",""
"2026-03-24","META","프로모션","유사 타겟","소재 12","5400","113","78535","3.5","176750","desktop","","소재 12","https://example.com/프로모션","2.1","1.4",""
"2026-03-24","META","콘텐츠 유입","핵심 키워드","소재 21","5820","140","110600","5.2","306800","mobile","","소재 21","https://example.com/콘텐츠-유입","3.1","2.1",""
"2026-03-24","META","구매 전환","경쟁사","소재 06","6240","168","148680","7.2","486000","desktop","","소재 06","https://example.com/구매-전환","4.3","2.9",""
"2026-03-24","KAKAO","리타겟팅","유사 타겟","소재 04","5240","94","60160","2.4","100800","mobile","","소재 04","https://example.com/리타겟팅","1.4","1",""
"2026-03-24","KAKAO","프로모션","핵심 키워드","소재 13","5660","119","87465","3.7","186850","desktop","","소재 13","https://example.com/프로모션","2.2","1.5",""
"2026-03-24","KAKAO","콘텐츠 유입","경쟁사","소재 22","6080","146","121180","5.4","318600","mobile","","소재 22","https://example.com/콘텐츠-유입","3.2","2.2",""
"2026-03-24","KAKAO","구매 전환","관심사","소재 07","6500","176","162800","7.6","513000","desktop","","소재 07","https://example.com/구매-전환","4.6","3",""
"2026-03-25","NAVER","리드 확보","고가치 고객","소재 01","4425","80","41600","2","84000","mobile","리드 확보 키워드","소재 01","https://example.com/리드-확보","1.2","0.8",""
"2026-03-25","NAVER","리타겟팅","모바일","소재 09","4845","102","62730","3.2","161600","desktop","리타겟팅 키워드","소재 09","https://example.com/리타겟팅","1.9","1.3",""
"2026-03-25","NAVER","프로모션","PC","소재 17","5265","126","89460","4.7","277300","mobile","프로모션 키워드","소재 17","https://example.com/프로모션","2.8","1.9",""
"2026-03-25","NAVER","콘텐츠 유입","지역 타겟","소재 01","5685","153","123165","6.6","445500","desktop","콘텐츠 유입 키워드","소재 01","https://example.com/콘텐츠-유입","4","2.6",""
"2026-03-25","GOOGLE","리드 확보","모바일","소재 02","4685","84","47040","2.1","88200","mobile","리드 확보 키워드","소재 02","https://example.com/리드-확보","1.3","0.8",""
"2026-03-25","GOOGLE","리타겟팅","PC","소재 10","5105","107","70085","3.3","166650","desktop","리타겟팅 키워드","소재 10","https://example.com/리타겟팅","2","1.3",""
"2026-03-25","GOOGLE","프로모션","지역 타겟","소재 18","5525","133","99750","4.9","289100","mobile","프로모션 키워드","소재 18","https://example.com/프로모션","2.9","2",""
"2026-03-25","GOOGLE","콘텐츠 유입","유사 타겟","소재 02","5945","161","136045","6.9","465750","desktop","콘텐츠 유입 키워드","소재 02","https://example.com/콘텐츠-유입","4.1","2.8",""
"2026-03-25","META","리드 확보","PC","소재 03","4945","89","53400","2.2","92400","mobile","","소재 03","https://example.com/리드-확보","1.3","0.9",""
"2026-03-25","META","리타겟팅","지역 타겟","소재 11","5365","113","78535","3.5","176750","desktop","","소재 11","https://example.com/리타겟팅","2.1","1.4",""
"2026-03-25","META","프로모션","유사 타겟","소재 19","5785","139","109810","5.1","300900","mobile","","소재 19","https://example.com/프로모션","3.1","2",""
"2026-03-25","META","콘텐츠 유입","핵심 키워드","소재 03","6205","168","148680","7.2","486000","desktop","","소재 03","https://example.com/콘텐츠-유입","4.3","2.9",""
"2026-03-25","KAKAO","리드 확보","지역 타겟","소재 04","5205","94","60160","2.4","100800","mobile","","소재 04","https://example.com/리드-확보","1.4","1",""
"2026-03-25","KAKAO","리타겟팅","유사 타겟","소재 12","5625","118","86730","3.7","186850","desktop","","소재 12","https://example.com/리타겟팅","2.2","1.5",""
"2026-03-25","KAKAO","프로모션","핵심 키워드","소재 20","6045","145","120350","5.4","318600","mobile","","소재 20","https://example.com/프로모션","3.2","2.2",""
"2026-03-25","KAKAO","콘텐츠 유입","경쟁사","소재 04","6465","175","161875","7.5","506250","desktop","","소재 04","https://example.com/콘텐츠-유입","4.5","3",""
"2026-03-26","NAVER","브랜드 검색","신규 고객","소재 01","4390","79","41080","2","84000","mobile","브랜드 검색 키워드","소재 01","https://example.com/브랜드-검색","1.2","0.8",""
"2026-03-26","NAVER","리드 확보","고가치 고객","소재 08","4810","101","62115","3.1","156550","desktop","리드 확보 키워드","소재 08","https://example.com/리드-확보","1.9","1.2",""
"2026-03-26","NAVER","리타겟팅","모바일","소재 15","5230","126","89460","4.7","277300","mobile","리타겟팅 키워드","소재 15","https://example.com/리타겟팅","2.8","1.9",""
"2026-03-26","NAVER","프로모션","PC","소재 22","5650","153","123165","6.6","445500","desktop","프로모션 키워드","소재 22","https://example.com/프로모션","4","2.6",""
"2026-03-26","GOOGLE","브랜드 검색","고가치 고객","소재 02","4650","84","47040","2.1","88200","mobile","브랜드 검색 키워드","소재 02","https://example.com/브랜드-검색","1.3","0.8",""
"2026-03-26","GOOGLE","리드 확보","모바일","소재 09","5070","106","69430","3.3","166650","desktop","리드 확보 키워드","소재 09","https://example.com/리드-확보","2","1.3",""
"2026-03-26","GOOGLE","리타겟팅","PC","소재 16","5490","132","99000","4.9","289100","mobile","리타겟팅 키워드","소재 16","https://example.com/리타겟팅","2.9","2",""
"2026-03-26","GOOGLE","프로모션","지역 타겟","소재 23","5910","160","135200","6.9","465750","desktop","프로모션 키워드","소재 23","https://example.com/프로모션","4.1","2.8",""
"2026-03-26","META","브랜드 검색","모바일","소재 03","4910","88","52800","2.2","92400","mobile","","소재 03","https://example.com/브랜드-검색","1.3","0.9",""
"2026-03-26","META","리드 확보","PC","소재 10","5330","112","77840","3.5","176750","desktop","","소재 10","https://example.com/리드-확보","2.1","1.4",""
"2026-03-26","META","리타겟팅","지역 타겟","소재 17","5750","138","109020","5.1","300900","mobile","","소재 17","https://example.com/리타겟팅","3.1","2",""
"2026-03-26","META","프로모션","유사 타겟","소재 24","6170","167","147795","7.2","486000","desktop","","소재 24","https://example.com/프로모션","4.3","2.9",""
"2026-03-26","KAKAO","브랜드 검색","PC","소재 04","5170","93","59520","2.3","96600","mobile","","소재 04","https://example.com/브랜드-검색","1.4","0.9",""
"2026-03-26","KAKAO","리드 확보","지역 타겟","소재 11","5590","117","85995","3.6","181800","desktop","","소재 11","https://example.com/리드-확보","2.2","1.4",""
"2026-03-26","KAKAO","리타겟팅","유사 타겟","소재 18","6010","144","119520","5.3","312700","mobile","","소재 18","https://example.com/리타겟팅","3.2","2.1",""
"2026-03-26","KAKAO","프로모션","핵심 키워드","소재 01","6430","174","160950","7.5","506250","desktop","","소재 01","https://example.com/프로모션","4.5","3",""
"2026-03-27","NAVER","구매 전환","장바구니","소재 01","4355","78","40560","2","84000","mobile","구매 전환 키워드","소재 01","https://example.com/구매-전환","1.2","0.8",""
"2026-03-27","NAVER","브랜드 검색","신규 고객","소재 07","4775","100","61500","3.1","156550","desktop","브랜드 검색 키워드","소재 07","https://example.com/브랜드-검색","1.9","1.2",""
"2026-03-27","NAVER","리드 확보","고가치 고객","소재 13","5195","125","88750","4.6","271400","mobile","리드 확보 키워드","소재 13","https://example.com/리드-확보","2.8","1.8",""
"2026-03-27","NAVER","리타겟팅","모바일","소재 19","5615","152","122360","6.5","438750","desktop","리타겟팅 키워드","소재 19","https://example.com/리타겟팅","3.9","2.6",""
"2026-03-27","GOOGLE","구매 전환","신규 고객","소재 02","4615","83","46480","2.1","88200","mobile","구매 전환 키워드","소재 02","https://example.com/구매-전환","1.3","0.8",""
"2026-03-27","GOOGLE","브랜드 검색","고가치 고객","소재 08","5035","106","69430","3.3","166650","desktop","브랜드 검색 키워드","소재 08","https://example.com/브랜드-검색","2","1.3",""
"2026-03-27","GOOGLE","리드 확보","모바일","소재 14","5455","131","98250","4.8","283200","mobile","리드 확보 키워드","소재 14","https://example.com/리드-확보","2.9","1.9",""
"2026-03-27","GOOGLE","리타겟팅","PC","소재 20","5875","159","134355","6.8","459000","desktop","리타겟팅 키워드","소재 20","https://example.com/리타겟팅","4.1","2.7",""
"2026-03-27","META","구매 전환","고가치 고객","소재 03","4875","88","52800","2.2","92400","mobile","","소재 03","https://example.com/구매-전환","1.3","0.9",""
"2026-03-27","META","브랜드 검색","모바일","소재 09","5295","111","77145","3.4","171700","desktop","","소재 09","https://example.com/브랜드-검색","2","1.4",""
"2026-03-27","META","리드 확보","PC","소재 15","5715","137","108230","5.1","300900","mobile","","소재 15","https://example.com/리드-확보","3.1","2",""
"2026-03-27","META","리타겟팅","지역 타겟","소재 21","6135","166","146910","7.1","479250","desktop","","소재 21","https://example.com/리타겟팅","4.3","2.8",""
"2026-03-27","KAKAO","구매 전환","모바일","소재 04","5135","92","58880","2.3","96600","mobile","","소재 04","https://example.com/구매-전환","1.4","0.9",""
"2026-03-27","KAKAO","브랜드 검색","PC","소재 10","5555","117","85995","3.6","181800","desktop","","소재 10","https://example.com/브랜드-검색","2.2","1.4",""
"2026-03-27","KAKAO","리드 확보","지역 타겟","소재 16","5975","143","118690","5.3","312700","mobile","","소재 16","https://example.com/리드-확보","3.2","2.1",""
"2026-03-27","KAKAO","리타겟팅","유사 타겟","소재 22","6395","173","160025","7.4","499500","desktop","","소재 22","https://example.com/리타겟팅","4.4","3",""
"2026-03-28","NAVER","콘텐츠 유입","관심사","소재 01","4320","78","40560","2","84000","mobile","콘텐츠 유입 키워드","소재 01","https://example.com/콘텐츠-유입","1.2","0.8",""
"2026-03-28","NAVER","구매 전환","장바구니","소재 06","4740","100","61500","3.1","156550","desktop","구매 전환 키워드","소재 06","https://example.com/구매-전환","1.9","1.2",""
"2026-03-28","NAVER","브랜드 검색","신규 고객","소재 11","5160","124","88040","4.6","271400","mobile","브랜드 검색 키워드","소재 11","https://example.com/브랜드-검색","2.8","1.8",""
"2026-03-28","NAVER","리드 확보","고가치 고객","소재 16","5580","151","121555","6.5","438750","desktop","리드 확보 키워드","소재 16","https://example.com/리드-확보","3.9","2.6",""
"2026-03-28","GOOGLE","콘텐츠 유입","장바구니","소재 02","4580","82","45920","2.1","88200","mobile","콘텐츠 유입 키워드","소재 02","https://example.com/콘텐츠-유입","1.3","0.8",""
"2026-03-28","GOOGLE","구매 전환","신규 고객","소재 07","5000","105","68775","3.3","166650","desktop","구매 전환 키워드","소재 07","https://example.com/구매-전환","2","1.3",""
"2026-03-28","GOOGLE","브랜드 검색","고가치 고객","소재 12","5420","130","97500","4.8","283200","mobile","브랜드 검색 키워드","소재 12","https://example.com/브랜드-검색","2.9","1.9",""
"2026-03-28","GOOGLE","리드 확보","모바일","소재 17","5840","158","133510","6.8","459000","desktop","리드 확보 키워드","소재 17","https://example.com/리드-확보","4.1","2.7",""
"2026-03-28","META","콘텐츠 유입","신규 고객","소재 03","4840","87","52200","2.2","92400","mobile","","소재 03","https://example.com/콘텐츠-유입","1.3","0.9",""
"2026-03-28","META","구매 전환","고가치 고객","소재 08","5260","110","76450","3.4","171700","desktop","","소재 08","https://example.com/구매-전환","2","1.4",""
"2026-03-28","META","브랜드 검색","모바일","소재 13","5680","136","107440","5","295000","mobile","","소재 13","https://example.com/브랜드-검색","3","2",""
"2026-03-28","META","리드 확보","PC","소재 18","6100","165","146025","7.1","479250","desktop","","소재 18","https://example.com/리드-확보","4.3","2.8",""
"2026-03-28","KAKAO","콘텐츠 유입","고가치 고객","소재 04","5100","92","58880","2.3","96600","mobile","","소재 04","https://example.com/콘텐츠-유입","1.4","0.9",""
"2026-03-28","KAKAO","구매 전환","모바일","소재 09","5520","116","85260","3.6","181800","desktop","","소재 09","https://example.com/구매-전환","2.2","1.4",""
"2026-03-28","KAKAO","브랜드 검색","PC","소재 14","5940","143","118690","5.3","312700","mobile","","소재 14","https://example.com/브랜드-검색","3.2","2.1",""
"2026-03-28","KAKAO","리드 확보","지역 타겟","소재 19","6360","172","159100","7.4","499500","desktop","","소재 19","https://example.com/리드-확보","4.4","3",""
"2026-03-29","NAVER","프로모션","경쟁사","소재 01","4285","77","40040","1.9","79800","mobile","프로모션 키워드","소재 01","https://example.com/프로모션","1.1","0.8",""
"2026-03-29","NAVER","콘텐츠 유입","관심사","소재 05","4705","99","60885","3.1","156550","desktop","콘텐츠 유입 키워드","소재 05","https://example.com/콘텐츠-유입","1.9","1.2",""
"2026-03-29","NAVER","구매 전환","장바구니","소재 09","5125","123","87330","4.6","271400","mobile","구매 전환 키워드","소재 09","https://example.com/구매-전환","2.8","1.8",""
"2026-03-29","NAVER","브랜드 검색","신규 고객","소재 13","5545","150","120750","6.5","438750","desktop","브랜드 검색 키워드","소재 13","https://example.com/브랜드-검색","3.9","2.6",""
"2026-03-29","GOOGLE","프로모션","관심사","소재 02","4545","82","45920","2.1","88200","mobile","프로모션 키워드","소재 02","https://example.com/프로모션","1.3","0.8",""
"2026-03-29","GOOGLE","콘텐츠 유입","장바구니","소재 06","4965","104","68120","3.2","161600","desktop","콘텐츠 유입 키워드","소재 06","https://example.com/콘텐츠-유입","1.9","1.3",""
"2026-03-29","GOOGLE","구매 전환","신규 고객","소재 10","5385","129","96750","4.8","283200","mobile","구매 전환 키워드","소재 10","https://example.com/구매-전환","2.9","1.9",""
"2026-03-29","GOOGLE","브랜드 검색","고가치 고객","소재 14","5805","157","132665","6.8","459000","desktop","브랜드 검색 키워드","소재 14","https://example.com/브랜드-검색","4.1","2.7",""
"2026-03-29","META","프로모션","장바구니","소재 03","4805","86","51600","2.1","88200","mobile","","소재 03","https://example.com/프로모션","1.3","0.8",""
"2026-03-29","META","콘텐츠 유입","신규 고객","소재 07","5225","110","76450","3.4","171700","desktop","","소재 07","https://example.com/콘텐츠-유입","2","1.4",""
"2026-03-29","META","구매 전환","고가치 고객","소재 11","5645","135","106650","5","295000","mobile","","소재 11","https://example.com/구매-전환","3","2",""
"2026-03-29","META","브랜드 검색","모바일","소재 15","6065","164","145140","7.1","479250","desktop","","소재 15","https://example.com/브랜드-검색","4.3","2.8",""
"2026-03-29","KAKAO","프로모션","신규 고객","소재 04","5065","91","58240","2.3","96600","mobile","","소재 04","https://example.com/프로모션","1.4","0.9",""
"2026-03-29","KAKAO","콘텐츠 유입","고가치 고객","소재 08","5485","115","84525","3.6","181800","desktop","","소재 08","https://example.com/콘텐츠-유입","2.2","1.4",""
"2026-03-29","KAKAO","구매 전환","모바일","소재 12","5905","142","117860","5.3","312700","mobile","","소재 12","https://example.com/구매-전환","3.2","2.1",""
"2026-03-29","KAKAO","브랜드 검색","PC","소재 16","6325","171","158175","7.4","499500","desktop","","소재 16","https://example.com/브랜드-검색","4.4","3",""
"2026-03-30","NAVER","리타겟팅","핵심 키워드","소재 01","4250","77","40040","1.9","79800","mobile","리타겟팅 키워드","소재 01","https://example.com/리타겟팅","1.1","0.8",""
"2026-03-30","NAVER","프로모션","경쟁사","소재 04","4670","98","60270","3","151500","desktop","프로모션 키워드","소재 04","https://example.com/프로모션","1.8","1.2",""
"2026-03-30","NAVER","콘텐츠 유입","관심사","소재 07","5090","122","86620","4.5","265500","mobile","콘텐츠 유입 키워드","소재 07","https://example.com/콘텐츠-유입","2.7","1.8",""
"2026-03-30","NAVER","구매 전환","장바구니","소재 10","5510","149","119945","6.4","432000","desktop","구매 전환 키워드","소재 10","https://example.com/구매-전환","3.8","2.6",""
"2026-03-30","GOOGLE","리타겟팅","경쟁사","소재 02","4510","81","45360","2","84000","mobile","리타겟팅 키워드","소재 02","https://example.com/리타겟팅","1.2","0.8",""
"2026-03-30","GOOGLE","프로모션","관심사","소재 05","4930","104","68120","3.2","161600","desktop","프로모션 키워드","소재 05","https://example.com/프로모션","1.9","1.3",""
"2026-03-30","GOOGLE","콘텐츠 유입","장바구니","소재 08","5350","128","96000","4.7","277300","mobile","콘텐츠 유입 키워드","소재 08","https://example.com/콘텐츠-유입","2.8","1.9",""
"2026-03-30","GOOGLE","구매 전환","신규 고객","소재 11","5770","156","131820","6.7","452250","desktop","구매 전환 키워드","소재 11","https://example.com/구매-전환","4","2.7",""
"2026-03-30","META","리타겟팅","관심사","소재 03","4770","86","51600","2.1","88200","mobile","","소재 03","https://example.com/리타겟팅","1.3","0.8",""
"2026-03-30","META","프로모션","장바구니","소재 06","5190","109","75755","3.4","171700","desktop","","소재 06","https://example.com/프로모션","2","1.4",""
"2026-03-30","META","콘텐츠 유입","신규 고객","소재 09","5610","135","106650","5","295000","mobile","","소재 09","https://example.com/콘텐츠-유입","3","2",""
"2026-03-30","META","구매 전환","고가치 고객","소재 12","6030","163","144255","7","472500","desktop","","소재 12","https://example.com/구매-전환","4.2","2.8",""
"2026-03-30","KAKAO","리타겟팅","장바구니","소재 04","5030","91","58240","2.3","96600","mobile","","소재 04","https://example.com/리타겟팅","1.4","0.9",""
"2026-03-30","KAKAO","프로모션","신규 고객","소재 07","5450","114","83790","3.5","176750","desktop","","소재 07","https://example.com/프로모션","2.1","1.4",""
"2026-03-30","KAKAO","콘텐츠 유입","고가치 고객","소재 10","5870","141","117030","5.2","306800","mobile","","소재 10","https://example.com/콘텐츠-유입","3.1","2.1",""
"2026-03-30","KAKAO","구매 전환","모바일","소재 13","6290","170","157250","7.3","492750","desktop","","소재 13","https://example.com/구매-전환","4.4","2.9",""
"2026-03-31","NAVER","리드 확보","유사 타겟","소재 01","4215","76","39520","1.9","79800","mobile","리드 확보 키워드","소재 01","https://example.com/리드-확보","1.1","0.8",""
"2026-03-31","NAVER","리타겟팅","핵심 키워드","소재 03","4635","97","59655","3","151500","desktop","리타겟팅 키워드","소재 03","https://example.com/리타겟팅","1.8","1.2",""
"2026-03-31","NAVER","프로모션","경쟁사","소재 05","5055","121","85910","4.5","265500","mobile","프로모션 키워드","소재 05","https://example.com/프로모션","2.7","1.8",""
"2026-03-31","NAVER","콘텐츠 유입","관심사","소재 07","5475","148","119140","6.4","432000","desktop","콘텐츠 유입 키워드","소재 07","https://example.com/콘텐츠-유입","3.8","2.6",""
"2026-03-31","GOOGLE","리드 확보","핵심 키워드","소재 02","4475","81","45360","2","84000","mobile","리드 확보 키워드","소재 02","https://example.com/리드-확보","1.2","0.8",""
"2026-03-31","GOOGLE","리타겟팅","경쟁사","소재 04","4895","103","67465","3.2","161600","desktop","리타겟팅 키워드","소재 04","https://example.com/리타겟팅","1.9","1.3",""
